Phys. Rev. 142 (1966) 922
https://doi.org/10.1103/PhysRev.142.922
proton electric form factor from e p cross section
process: e p -> e p




Q2     	G_E	err_stat    err_syst
fm^-2	1	1	    %(relative)
4.0	0.689	0.019	    2.6
4.6	0.615	0.015	    2.6
5.0	0.599	0.026	    2.6
6.0	0.577	0.019	    2.6
7.0	0.521	0.021	    2.6
7.5	0.504	0.022	    2.6
8.0	0.453	0.020	    2.6
9.0	0.422	0.027	    2.6
10.0	0.424	0.017	    2.6
11.0	0.398	0.025	    2.6
12.0	0.363	0.020	    2.6
13.0	0.349	0.040	    2.6
14.0	0.315	0.028	    2.6
15.0	0.304	0.053	    2.6
16.0	0.271	0.024	    2.6
17.0	0.234	0.041	    2.6
18.0	0.274	0.026	    2.6
19.0	0.254	0.039	    2.6
20.0	0.187	0.073	    2.6
22.0	0.166	0.075	    2.6

