Phys. Rev. D 4 (1971) 45
https://doi.org/10.1103/PhysRevD.4.45
Proton electric form factor square from cross section measurement
process: e p -> e p




Q2	 G_Ep^2		err_total
GeV^2	 1		1
0.0389	 0.776		0.015
0.0778	 0.615		0.018
0.116	 0.526		0.032
0.130	 0.481		0.011
0.190	 0.367		0.006
0.270	 0.253		0.007
0.330	 0.1994		0.0044
0.390	 0.1716		0.0041
0.450	 0.1405		0.0071
0.530	 0.1070		0.0074
0.580	 0.0867		0.0025
0.650	 0.0702		0.0061
0.720	 0.0729		0.0093
0.780	 0.0471		0.0028
0.940	 0.0383		0.0030
1.100	 0.0198		0.0014
1.350	 0.0130		0.0012
1.750	 0.00509	0.00091

