Phys. Rev. D 4 (1971) 45
https://doi.org/10.1103/PhysRevD.4.45
Proton magnetic form factor square from cross section measurement
process: e p -> e p




Q2	 G_Mp^2		err_total
GeV^2	 1		1
0.0389	 6.296		0.190
0.0778	 4.985		0.151
0.116	 4.141		0.065
0.130	 3.76		0.08
0.190	 2.861		0.042
0.270	 2.002		0.045
0.330	 1.617		0.021
0.390	 1.282		0.022
0.450	 1.053		0.020
0.530	 0.813		0.026
0.580	 0.719		0.009
0.650	 0.588		0.013
0.720	 0.476		0.014
0.780	 0.418		0.008
0.940	 0.274		0.006
1.100	 0.2046		0.0032
1.350	 0.1241		0.0024
1.750	 0.0617		0.0013

