Phys. Rev. D 4 (1971) 45
https://doi.org/10.1103/PhysRevD.4.45
Proton electromagnetic form factor ratio square from cross section measurement
process: e p -> e p




Q2	 (mu*G_Ep/G_Mp)^2	err_total
GeV^2	 1		1
0.0389	 0.961		0.036
0.0778	 0.961		0.042
0.116	 0.990		0.063
0.130	 0.994		0.040
0.190	 0.998		0.030
0.270	 0.984		0.046
0.330	 0.960		0.032
0.390	 1.042		0.042
0.450	 1.038		0.069
0.530	 1.025		0.100
0.580	 0.939		0.038
0.650	 0.930		0.099
0.720	 1.193		0.181
0.780	 0.878		0.069
0.940	 1.089		0.109
1.100	 0.754		0.063
1.350	 0.815		0.087
1.750	 0.642		0.127

