Nucl. Phys. B 58 (1973) 429
https://doi.org/10.1016/0550-3213(73)90594-4
Neutron magnetic form factor from quasi-elastic e+d cross section
process e d -> e p n


a compilation including some early data

Q2	G_Mn/mu/G_D	err_total
GeV^2	1		1
0.039	1.39		0.30
0.058	1.05		0.056
0.097	1.10		0.032
0.113	1.12		0.08
0.160	1.04		0.07
0.178	1.03		0.035
0.292	0.94		0.026
0.389	0.97		0.09
0.389	1.01		0.028
0.565	1.01		0.08
0.600	1.12		0.036
0.780	1.00		0.054
1.00	1.047		0.082
1.00	0.975		0.055
1.17	1.04		0.094
1.53	1.055		0.055
1.80	1.21		0.11
2.70	0.84		0.26

