Nucl. Phys. A 333 (1980) 381
https://doi.org/10.1016/0375-9474(80)90104-9
Proton electric form factor from cross section measurements
process: e p -> e p




Q2	 G_Ep	  err_stat	err_syst
fm^-2	 1	  %(relative)	%(relative)
0.14	 0.9858   0.22		0.48
0.20	 0.9767   0.25		0.48
0.25 	 0.9722   0.22		0.48
0.30 	 0.9619   0.43		0.48
0.35 	 0.9612   0.22		0.48
0.40 	 0.9511   0.50		0.48
0.45 	 0.9463   0.16		0.48
0.50 	 0.9428   0.31		0.48
0.55 	 0.9353   0.16		0.48
0.60 	 0.9320   0.30		0.48
0.65 	 0.9246   0.18		0.48
0.70 	 0.9165   0.35		0.48
0.80 	 0.9064   0.27		0.48
0.85 	 0.9043   0.32		0.48
0.90 	 0.9023   0.37		0.48
1.00 	 0.8839   0.80		0.48
1.2 	 0.8637   0.60		0.48
1.4 	 0.8466   0.40		0.48

