Phys. Rev. D 48 (1993) 29
https://doi.org/10.1103/PhysRevD.48.29
Proton magnetic form factor from cross section measurements
process: e p -> e p

assume scaling mu*G_Ep/G_Mp = 1


Q2     Q^4*G_Mp/mu	    err_stat	err_syst
GeV^2  GeV^4		    GeV^4	GeV^4
2.862  0.331		    0.002	0.006
3.621  0.361		    0.004	0.007
5.027  0.390		    0.001	0.007
4.991  0.391		    0.003	0.007
5.017  0.387		    0.003	0.007
7.3    0.397		    0.004	0.007
9.629  0.390		    0.005	0.007
11.99  0.392		    0.005	0.007
15.72  0.378		    0.009	0.007
19.47  0.343		    0.012	0.006
23.24  0.346		    0.014	0.006
26.99  0.339		    0.020	0.006
31.2   0.347		    0.031	0.007
