Phys. Rev. D 48 (1993) 29
https://doi.org/10.1103/PhysRevD.48.29
Proton Dirac form factor from cross section measurements
process: e p -> e p

assume scaling mu*G_Ep/G_Mp = 1


Q2     Q^4*F_1p	    err_stat	err_syst
GeV^2  GeV^4	    GeV^4	GeV^4
2.862  0.597	    0.004	0.011
3.621  0.688	    0.007	0.013
5.027  0.800	    0.002	0.015
4.991  0.801	    0.007	0.015
5.017  0.795	    0.006	0.015
7.300  0.878	    0.008	0.016
9.629  0.902	    0.011	0.017
11.99  0.935	    0.013	0.017
15.72  0.931	    0.023	0.017
19.47  0.866	    0.030	0.016
23.24  0.885	    0.036	0.016
26.99  0.878	    0.053	0.016
31.20  0.91	    0.08	0.02

