Phys. Lett. B 771 (2017) 194
https://doi.org/10.1016/j.physletb.2017.05.031
Proton electric form factor
process: e p -> e p

# The presented form-factors are renormalised using model described in the paper in order to obtain a result consistent with a static limit. Hence, the obtained results are model dependent. 
 

Q2	G_Ep	err_stat	err_syst
GeV^2	1	1		1
0.0013  1.006  0.0041  0.0070
0.0016  0.995  0.0033  0.0065
0.0018  0.983  0.0037  0.0059
0.0021  0.995  0.0032  0.0057
0.0026  0.999  0.0047  0.0058
0.0018  0.983  0.0045  0.0065
0.0021  1.002  0.0040  0.0056
0.0024  1.000  0.0030  0.0050
0.0028  0.997  0.0038  0.0047
0.0033  0.991  0.0035  0.0046
0.0038  0.992  0.0031  0.0046
0.0044  0.983  0.0033  0.0046
0.0051  0.985  0.0029  0.0046
0.0060  0.975  0.0030  0.0048
0.0069  0.985  0.0040  0.0050
0.0061  0.982  0.0020  0.0077
0.0071  0.980  0.0020  0.0065
0.0082  0.980  0.0024  0.0049
0.0095  0.972  0.0017  0.0045
0.0110  0.974  0.0018  0.0045
0.0129  0.965  0.0017  0.0045
0.0154  0.961  0.0025  0.0045
