Phys. Rev. C 90 (2013) 015206
https://doi.org/10.1103/PhysRevC.90.015206
Proton magnetic form factor
process: e p -> e p




Q2	G_Mp	err_total
GeV^2	1	1
0.0152  3.2859 0.3955
0.0162  3.1148 0.2332
0.0172  3.2880 0.2134
0.0182  2.6790 0.2057
0.0192  3.1029 0.2263
0.0202  2.7368 0.1861
0.0213  2.4972 0.2096
0.0236  2.3928 0.1712
0.0255  2.4870 0.1138
0.0272  2.6058 0.0894
0.0304  2.4760 0.0973
0.0322  2.5483 0.0768
0.0340  2.4843 0.0480
0.0357  2.6470 0.0460
0.0376  2.5045 0.0477
0.0394  2.4698 0.0386
0.0413  2.5439 0.0259
0.0433  2.4878 0.0201
0.0473  2.4788 0.0164
0.0494  2.4500 0.0174
0.0515  2.4175 0.0135
0.0537  2.4014 0.0111
0.0557  2.3997 0.0123
0.0580  2.3938 0.0121
0.0602  2.3790 0.0088
0.0625  2.3574 0.0076
0.0648  2.3404 0.0051
0.0672  2.3275 0.0082
0.0695  2.3157 0.0077
0.0711  2.3072 0.0055
0.0742  2.3028 0.0058
0.0773  2.2861 0.0040
0.0805  2.2611 0.0031
0.0837  2.2327 0.0039
0.0867  2.2087 0.0416
0.0908  2.1924 0.0257
0.0949  2.1873 0.0319
0.1033  2.1669 0.0260
0.1076  2.1125 0.0213
0.1120  2.1069 0.0087
0.1163  2.0652 0.0100
0.1255  2.0243 0.0110
0.1300  1.9862 0.0071
0.1348  1.9522 0.0062
0.1395  1.9296 0.0065
0.1441  1.9096 0.0059
0.1490  1.8941 0.0034
0.1538  1.8522 0.0081
0.1588  1.8419 0.0070
0.1637  1.8164 0.0053
0.1687  1.8162 0.0064
0.1739  1.7866 0.0028
0.1789  1.7642 0.0043
0.1840  1.7447 0.0036
0.1893  1.7222 0.0031
0.1943  1.7027 0.0035
0.1997  1.6891 0.0023
0.2051  1.6746 0.0030
0.2103  1.6523 0.0028
0.2156  1.6293 0.0026
0.2210  1.6015 0.0068
0.2318  1.5609 0.0067
0.2427  1.5429 0.0056
0.2481  1.5166 0.0059
0.2592  1.4813 0.0054
0.2758  1.4351 0.0040
0.2814  1.4222 0.0063
0.3069  1.3619 0.0024
0.3354  1.2929 0.0020
0.3638  1.2310 0.0015
0.3916  1.1633 0.0029
0.4201  1.1105 0.0027
0.4471  1.0697 0.0034
0.4748  1.0214 0.0029
0.5011  0.9789 0.0017
0.5274  0.9428 0.0018
0.5524  0.9108 0.0016
