Nucl. Phys. A 510 (1990) 740
https://doi.org/10.1016/0375-9474(90)90358-S
Neutron electric form factor
process: e d -> e d




Q2	 G_En	err_total
fm^-2	 1	1
0.40349 0.01573 0.00813
0.68490 0.01845 0.00832
0.98807 0.01755 0.00813
1.24830 0.02316 0.00814
1.55773 0.01431 0.00778
1.83744 0.01919 0.00723
2.11472 0.02715 0.00796
2.38165 0.02426 0.00867
2.58119 0.03493 0.00958
2.84896 0.03096 0.01049
3.46196 0.04470 0.00614
0.56693 0.02423 0.00687
0.79178 0.02676 0.00614
1.01833 0.02713 0.00633
1.54250 0.03364 0.00614
2.11117 0.03166 0.0056
2.69461 0.03493 0.00615
3.67018 0.04434 0.00614
3.92161 0.03712 0.00524
4.50733 0.03749 0.00632
4.66269 0.03225 0.0047
3.31116 0.04416 0.00633
2.15663 0.04594 0.00542
2.76296 0.04415 0.00506
4.12656 0.04092 0.00452
4.90387 0.03804 0.00488
5.54445 0.04076 0.00397
6.43533 0.03771 0.0047
7.85237 0.03864 0.00416
8.63919 0.04769 0.00579
9.37784 0.04589 0.00668
7.15764 0.03266 0.0038
5.75524 0.03715 0.00397
6.22483 0.04096 0.00543
6.86825 0.04006 0.00397
7.44034 0.03375 0.00343
8.07949 0.03828 0.00343
9.19692 0.03559 0.0047
11.57817 0.03635 0.00488
13.92048 0.03856 0.00542
16.06677 0.04963 0.00669
18.03670 0.04460 0.00759
10.38584 0.03814 0.00452
