G_En	Q2	error
0.04632	0.495	0.007040859322554315
0.0526	0.5	0.00420119030752
0.0454	1.0	0.006545991139621257
0.0236	1.72	0.0031064449134018133
0.0208	2.48	0.0030610455730027933
0.0147	3.41	0.0024413111231467405
0.066	0.255	0.037107950630558946
0.07	0.16	0.10594810050208546
0.066	0.21	0.015524174696260024
0.037000000000000005	0.12	0.012083045973594574
0.052000000000000005	0.15	0.012083045973594574
0.057999999999999996	0.18	0.015811388300841896
0.07200000000000001	0.29	0.012651580928879996
0.077	0.34	0.011792476415070755
0.051	0.4	0.014424371736751658
0.0334	0.35	0.00432781700167648
0.059000000000000004	0.29	0.014372282351804811
0.07400000000000001	0.34	0.013200378782444086
0.049	0.42	0.01409618742781182
0.0484	0.67	0.0071
0.0552	0.3	0.006269968101992227
0.0477	0.59	0.007128990110808122
0.0468	0.79	0.009168560410446124
0.035	0.31	0.013000000000000001
0.052000000000000005	0.67	0.012083045973594574
